,0,1,2,3,4,5,6,7,x,y,label
0,311.0,217.0,177.0,192.0,179.0,213.0,247.0,276.0,115.20674123076297,-8.71896555058346,water
1,505.0,434.0,427.0,470.0,437.0,395.0,326.0,331.0,115.20583176461513,-8.718641958555637,water
2,389.0,321.0,270.0,272.0,273.0,282.0,331.0,352.0,115.20649441158994,-8.71943591863439,water
3,369.0,289.0,315.0,347.0,288.0,457.0,375.0,407.0,115.20643126580593,-8.72029612315573,water
4,573.0,483.0,439.0,467.0,429.0,414.0,388.0,377.0,115.20553486772108,-8.718592398654254,water
5,536.0,475.0,438.0,495.0,479.0,413.0,344.0,344.0,115.20609416733855,-8.71879067696466,water
6,411.0,338.0,300.0,328.0,311.0,298.0,299.0,303.0,115.20643464101964,-8.71926763746839,water
7,349.0,266.0,200.0,246.0,211.0,251.0,256.0,299.0,115.20622255727838,-8.71954134631661,water
8,247.0,216.0,276.0,272.0,212.0,175.0,178.0,206.0,115.20634603106964,-8.717985415031999,water
9,417.0,310.0,259.0,286.0,249.0,331.0,380.0,401.0,115.2069593286022,-8.719060303571863,water
10,352.0,278.0,230.0,261.0,232.0,261.0,265.0,292.0,115.20636092366183,-8.719504608840838,water
11,255.0,190.0,210.0,253.0,172.0,299.0,245.0,273.0,115.20591549309513,-8.717972906409887,water
12,350.0,288.0,476.0,397.0,293.0,345.0,277.0,301.0,115.20721359542097,-8.718229212702976,water
13,337.0,238.0,204.0,226.0,205.0,260.0,308.0,349.0,115.20677317794046,-8.71866979061288,water
14,360.0,305.0,254.0,253.0,251.0,262.0,308.0,331.0,115.20649647906941,-8.719437318922823,water
15,404.0,293.0,237.0,250.0,233.0,285.0,360.0,390.0,115.20699801925326,-8.718995018462365,water
16,289.0,248.0,408.0,350.0,263.0,288.0,235.0,256.0,115.20723000143856,-8.718282394914606,water
17,375.0,317.0,322.0,396.0,374.0,379.0,338.0,357.0,115.20544207852078,-8.720413614237614,water
18,356.0,319.0,369.0,392.0,291.0,266.0,269.0,324.0,115.20633632517941,-8.717860744676257,water
19,378.0,287.0,297.0,354.0,298.0,395.0,339.0,359.0,115.20618638811749,-8.720289133910686,water
20,296.0,278.0,408.0,437.0,355.0,481.0,375.0,317.0,115.20856346848869,-8.717752817985147,water
21,278.0,230.0,275.0,291.0,241.0,204.0,206.0,229.0,115.206479337693,-8.717952771586214,water
22,475.0,413.0,392.0,439.0,440.0,379.0,309.0,326.0,115.20607526593349,-8.718820255925284,water
23,246.0,199.0,228.0,283.0,191.0,302.0,280.0,279.0,115.20586260815723,-8.717789699707899,water
24,294.0,266.0,315.0,319.0,245.0,216.0,207.0,261.0,115.20637065274677,-8.717833190004818,water
25,275.0,236.0,255.0,257.0,216.0,171.0,193.0,224.0,115.20642249306316,-8.718081482738855,water
26,418.0,356.0,369.0,447.0,412.0,429.0,382.0,386.0,115.20538610845632,-8.720290157453315,water
27,507.0,442.0,427.0,489.0,486.0,397.0,331.0,339.0,115.20601534357183,-8.718863677633552,water
28,413.0,338.0,353.0,441.0,430.0,418.0,384.0,399.0,115.2054481764718,-8.720349960022254,water
29,288.0,198.0,233.0,295.0,196.0,338.0,268.0,276.0,115.20591601321819,-8.717830067304442,water
30,286.0,210.0,270.0,299.0,205.0,440.0,330.0,278.0,115.20678849340803,-8.717784960441538,water
31,306.0,267.0,262.0,299.0,272.0,495.0,520.0,443.0,115.20301022269423,-8.719208747283616,water
32,374.0,310.0,528.0,593.0,413.0,706.0,468.0,363.0,115.20664384323065,-8.717479859061173,water
33,342.0,322.0,328.0,387.0,366.0,381.0,351.0,354.0,115.20532690301549,-8.720289770640552,water
34,305.0,268.0,441.0,371.0,271.0,305.0,249.0,273.0,115.20727489434728,-8.718055508327936,water
35,354.0,276.0,246.0,266.0,254.0,261.0,266.0,298.0,115.20630638240134,-8.71952083978404,water
36,298.0,216.0,231.0,283.0,198.0,319.0,268.0,291.0,115.20587960444556,-8.717956340437881,water
37,362.0,347.0,589.0,547.0,375.0,389.0,284.0,324.0,115.20739118582057,-8.717755756430844,water
38,312.0,305.0,482.0,525.0,445.0,567.0,420.0,335.0,115.20832648858476,-8.717651397188863,water
39,497.0,402.0,321.0,351.0,322.0,371.0,420.0,476.0,115.20678175542037,-8.719061386150525,water
40,270.0,211.0,260.0,285.0,193.0,426.0,324.0,302.0,115.2068978260108,-8.717736444700359,water
41,295.0,214.0,173.0,203.0,181.0,217.0,246.0,281.0,115.20690750733881,-8.719026792326174,water
42,330.0,242.0,290.0,344.0,248.0,393.0,327.0,353.0,115.20600925057929,-8.717984734835124,water
43,306.0,281.0,332.0,327.0,271.0,221.0,220.0,262.0,115.20633440726208,-8.717962207403035,water
44,443.0,409.0,356.0,365.0,358.0,405.0,438.0,463.0,115.20679672253034,-8.718753487138994,water
45,417.0,343.0,374.0,450.0,418.0,451.0,403.0,409.0,115.2053560909536,-8.720308796242362,water
46,338.0,329.0,588.0,537.0,385.0,350.0,272.0,294.0,115.20742483734001,-8.717835987849138,water
47,267.0,184.0,227.0,283.0,199.0,321.0,258.0,270.0,115.20592528661261,-8.717906056791522,water
48,345.0,312.0,568.0,513.0,369.0,369.0,279.0,298.0,115.20733939277272,-8.717817493337167,water
49,275.0,226.0,245.0,256.0,216.0,182.0,185.0,226.0,115.20644563625082,-8.7179198031066,water
50,573.0,517.0,473.0,502.0,500.0,431.0,373.0,365.0,115.20600747781454,-8.718651235624609,water
51,344.0,281.0,318.0,317.0,267.0,224.0,241.0,273.0,115.20640580739934,-8.718081673508769,water
52,431.0,350.0,573.0,623.0,433.0,723.0,442.0,341.0,115.20647387620463,-8.717648480893523,water
53,598.0,515.0,474.0,482.0,443.0,478.0,430.0,441.0,115.20537421238333,-8.718525023440153,water
54,261.0,229.0,379.0,313.0,237.0,279.0,233.0,258.0,115.20730554140249,-8.71830452035201,water
55,522.0,466.0,413.0,447.0,435.0,399.0,338.0,360.0,115.2059601766568,-8.71866572359786,water
56,261.0,178.0,238.0,247.0,173.0,342.0,277.0,266.0,115.20679155004616,-8.718177345942774,water
57,363.0,274.0,342.0,375.0,253.0,516.0,416.0,379.0,115.20669609096667,-8.718239113541417,water
58,364.0,263.0,231.0,278.0,250.0,262.0,270.0,278.0,115.20623848241378,-8.719490560669925,water
59,318.0,242.0,262.0,282.0,232.0,360.0,285.0,313.0,115.20642149884623,-8.72008579473561,water
60,359.0,251.0,273.0,289.0,245.0,373.0,314.0,336.0,115.20635929433408,-8.72013638005429,water
61,374.0,272.0,301.0,333.0,262.0,405.0,346.0,366.0,115.20627461835953,-8.72026142715015,water
62,315.0,288.0,462.0,389.0,288.0,330.0,265.0,283.0,115.20724295181712,-8.718285993706072,water
63,338.0,301.0,483.0,412.0,307.0,336.0,278.0,305.0,115.20723640541999,-8.718277442161291,water
64,376.0,281.0,232.0,269.0,246.0,256.0,277.0,307.0,115.20633073698662,-8.719435860651556,water
65,300.0,228.0,247.0,304.0,217.0,343.0,282.0,295.0,115.20596194929732,-8.717969920777502,water
66,404.0,337.0,291.0,301.0,298.0,295.0,297.0,316.0,115.20641086751061,-8.719335984659475,water
67,329.0,293.0,463.0,495.0,394.0,530.0,441.0,360.0,115.2085731816808,-8.717820010888328,water
68,330.0,239.0,268.0,302.0,254.0,371.0,314.0,346.0,115.20648906287293,-8.720268587749088,water
69,301.0,236.0,187.0,203.0,190.0,236.0,298.0,329.0,115.2070513781594,-8.719065476611544,water
70,312.0,232.0,259.0,296.0,239.0,379.0,306.0,333.0,115.20661689818348,-8.72019877062679,water
71,291.0,216.0,280.0,303.0,219.0,460.0,350.0,312.0,115.20690443501816,-8.717776420834255,water
72,342.0,267.0,298.0,329.0,231.0,457.0,350.0,337.0,115.20686302544142,-8.718148801686505,water
73,317.0,233.0,288.0,342.0,237.0,382.0,342.0,349.0,115.20586826630267,-8.71777517682793,water
74,385.0,290.0,236.0,286.0,249.0,298.0,341.0,371.0,115.20670770053496,-8.718707725858257,water
75,495.0,445.0,412.0,464.0,449.0,398.0,345.0,326.0,115.2059097499962,-8.718837233711074,water
76,336.0,258.0,271.0,325.0,265.0,377.0,327.0,348.0,115.20616197557585,-8.720335965449724,water
77,301.0,272.0,494.0,450.0,322.0,322.0,247.0,263.0,115.20734544608385,-8.717817438835175,water
78,349.0,305.0,319.0,386.0,368.0,385.0,335.0,348.0,115.2054117703644,-8.720333898649837,water
79,324.0,292.0,329.0,329.0,265.0,229.0,225.0,278.0,115.2063663017712,-8.717926672067431,water
80,377.0,296.0,516.0,573.0,392.0,743.0,437.0,338.0,115.20642383673996,-8.717606974655249,water
81,362.0,295.0,250.0,303.0,269.0,278.0,284.0,321.0,115.20625794356543,-8.719530312105046,water
82,394.0,326.0,544.0,611.0,413.0,743.0,470.0,375.0,115.20659247486354,-8.717488263875707,water
83,540.0,476.0,429.0,469.0,467.0,422.0,346.0,366.0,115.20593911369531,-8.718728234671657,water
84,302.0,248.0,350.0,389.0,320.0,415.0,332.0,333.0,115.20831621500729,-8.717788487421949,water
85,359.0,326.0,479.0,538.0,434.0,579.0,465.0,376.0,115.20835271464917,-8.717712747265326,water
86,327.0,298.0,409.0,460.0,382.0,464.0,360.0,331.0,115.20832074773381,-8.717717830031646,water
87,468.0,376.0,349.0,375.0,349.0,344.0,330.0,323.0,115.20542473152861,-8.718566911287938,water
88,408.0,360.0,387.0,461.0,445.0,476.0,456.0,453.0,115.20552191197297,-8.720554389547365,water
89,288.0,214.0,268.0,273.0,197.0,418.0,327.0,277.0,115.20695981466494,-8.717773129855255,water
90,645.0,592.0,578.0,645.0,620.0,520.0,397.0,348.0,115.20612329258464,-8.71867335350395,water
91,594.0,532.0,486.0,526.0,491.0,448.0,390.0,372.0,115.20554887029718,-8.718654000062884,water
92,585.0,536.0,506.0,548.0,531.0,469.0,376.0,359.0,115.20559909752313,-8.718668588345988,water
93,416.0,330.0,270.0,286.0,263.0,314.0,373.0,415.0,115.20672185985691,-8.718665964652931,water
94,504.0,462.0,433.0,491.0,476.0,408.0,334.0,334.0,115.2060068169845,-8.718726825446177,water
95,295.0,273.0,408.0,455.0,368.0,492.0,393.0,330.0,115.20843657681019,-8.717730962875956,water
96,374.0,288.0,231.0,254.0,235.0,278.0,322.0,349.0,115.20678143351235,-8.719040147725009,water
97,306.0,232.0,396.0,326.0,256.0,288.0,236.0,250.0,115.20717987464434,-8.718142415710567,water
98,537.0,463.0,440.0,478.0,445.0,386.0,332.0,307.0,115.20628819024392,-8.719215046286141,water
99,348.0,263.0,291.0,309.0,271.0,394.0,334.0,345.0,115.20625561234904,-8.72032403405472,water
0,2216.0,2089.0,2042.0,2148.0,2033.0,2235.0,2128.0,2166.0,115.20410687002382,-8.717098118316056,non_water
